product,title,rating,body
"JBL Flip 4, Black",Bluetooth Speaker Comparison -- 2017 Edition,5,"I was in need of a new portable speaker, and like many of you, I was a little overwhelmed after doing an Amazon search and finding literally tens of thousands of options to choose from.  It's especially frustrating because probably the most important part of the product -- how good it sounds -- is not something you can really evaluate until after you physically have it.  So I picked four speakers to compare: Cambridge Soundworks OontZ Angle 3 Plus, Anker SoundCore Sport XL, Geek Beats Jolt5, and the JBL Flip 4.First, the 
Cambridge SoundWorks OontZ Angle 3 PLUS Bluetooth Speaker with 30-Hour Playtime - Richer Bass Greater Sound Quality & 10W+ Loud Volume, Water Resistant Splashproof, Portable Wireless Speaker
, is a slightly larger version of the best-selling speaker on Amazon with over 17,000 reviews and a $30 price tag, and this only costs $5 more, so why not give it a shot?  I chose 
Anker SoundCore Sport XL Outdoor Portable Bluetooth Speaker - 16W Output and 2 Subwoofers, IP67 Waterproof & Dustproof, Shockproof, 66ft Bluetooth Range, 15H Playtime, Built-in Mic, USB Charging Port
, partially because I have other Anker products that I'm pretty happy with, but also because the 66-foot advertised range seemed like it could come in handy if I were working in the backyard with my phone in my pocket and the speaker sitting on the porch.  I selected the 
GEEK BEATS JOLT5 10W X-Bass Wireless Portable Bluetooth Speaker and USB Power Bank - Green. IP65 Water and Dust Resistant with 5200mAh Samsung Battery.
 because it's the same price as the Anker, it has an average of 4.9 stars (wow!), and it can be used as a battery to charge your phone.  And finally, I chose the 
JBL Flip 4 Waterproof Portable Bluetooth Speaker (Black)
 because in my search, I kept seeing the JBL Flip 3 pop up in reviews for other speakers, and this is the newest (and supposedly slightly better) version of that speaker.Sound Comparison:  Sitting in my living room and swapping around between the four options, it's clear that the Flip 4 is the most, well, clear.  Considering it's also the most expensive, I kinda expected that to be the result.  Surprisingly, the OontZ was a solid second place with a bit more rumble in its bass compared to the Flip 4 but at the cost of less clarity.  The Anker and Jolt5 were noticeably flatter in their sound, seeming to favor the lows instead of an overall range, and this caused some distortion at higher volumes.  When I took the speakers outside, it's a slightly different story.  With the speakers on the patio, I walked into the yard about 25 feet and compared the sound quality again, and again I'd put the Flip 4 in the top spot.  This time, however, I'd actually say the Anker was a solid number 2.  At this distance, the distortion from having the volume up the whole way was not very noticeable and didn't detract from the music I was playing, and the Anker is a bit louder than the OontZ.  The Jolt5 is a distant last place being not only flat but also not as loud.  It's comparable to listening to the radio on a boombox from the 90s.Bluetooth Range:  With the speakers inside, all four started cutting in and out around the same spot about 30 feet away.  It's around a corner, so having a wall in the way seems to even the odds here.  Having an open space outside didn't seem to make a difference to the Jolt5, though, as it still broke up around 30 feet.  The product page on Amazon says 33 feet, so that's pretty accurate.  The OontZ fared a bit better and almost made it to the back gate about 60 feet away.  The Anker is pretty spot on with its advertised 66-foot range as it went a bit further than the OontZ, even onto the other side of the gate and almost into the road.  The Flip 4 was still going strong when I got to the other side of the road and couldn't go any further in a straight line, maybe 75 feet.Other Things:  Depending on what exactly you plan on using your speaker for, and just for comparison's sake, there are some differences that may be worth note:-- All four speakers come with a mini-USB to USB charging cable but not the plug.  If you've charged a cell phone in the last 10 years or so, however, you should probably already have one.-- The Jolt5 and OontZ come with a 3.5mm cable so you can plug your phone right into it instead of using bluetooth (though all four speakers have this option, just not the cable).-- The Anker and Jolt5 have a USB port so they can be used as a portable battery to charge your phone.-- The Anker, Flip 4, and Jolt5 have hand straps.  The OontZ does not come with one nor have a place to attach one.-- The Anker, Flip 4, and Jolt5 have audible cues when they power on or off.  The OontZ is silent.  All four speakers do, however, make a noise when you successfully pair a device through bluetooth.-- All four speakers are splash resistant, but only the Anker and Flip 4 are likely to live if they fall into the water (submersible up to 30 minutes)-- The Anker and Jolt5 are shock resistant, so they likely won't shatter if you drop them-- The OontZ has the longest battery life (30 hours) and the Flip 4 has the shortest (12 hours)-- The Flip 4 can be paired with other Flip 4's (through an app) to provide a wireless multi-speaker experience.  There are Bluetooth adapters that would allow you to do this with the other speakers if you wanted, as well as physically connecting them with 3.5mm cables.-- The Flip 4 comes in a variety of colors.-- They are all roughly the same size, just differently shaped (see pics)Conclusion:  The best bang for your buck is the OontZ Angle 3 Plus.  It's a measly $35 and sounds almost as good as the $100 Flip 4, especially inside.  In addition to being inexpensive, you can literally keep it blaring music for an entire day.  It's not quite as loud outside as the Anker or Flip 4, but it's also half the price.  If you're willing to pay for premium sound, go with the Flip 4 or even the Flip 3 if you want to save 20 bucks.  Supposedly the sound is comparable, just the Flip 4 has a longer playtime.  It really is noticeably clearer compared to the other options, so if you were using it with a projector to watch a movie, for example, the rumbling and distortion aren't going to drown out the dialogue, and likewise vocals on a music track don't get lost in the rest of the noise.  If you're planning on a bunch of outside activities, like mountain biking or camping, the ruggedness of the Anker and ability for it to charge your phone makes it your best bet.  I didn't do a drop test with any of these, but the Anker feels like a rubberized brick and would probably survive a fall.  Other than battery life, there's no reason to ever choose the Jolt5 over the Anker, especially considering they are the same price.  The Jolt5 is just worse in every way, and I honestly don't understand its 4.9 rating.The Jolt5 is going back.  The Flip 4 is staying.  I'm still debating between the Anker and OontZ and may keep them both since the cost combined is still less than a Flip 4.EDIT:  After further testing, the Anker is going back and I'm keeping the OontZ.  When plugged in with a 3.5mm cable, the sound is dramatically better with way more bass and a louder volume.  And it's still somehow the cheapest one.TL;DR:-- On a budget?  Cambridge SoundWorks OontZ Angle 3 Plus-- Best sound?  JBL Flip 4 (though I do wish it had a bit more bass)-- Most likely to survive your abuse?  Anker SoundCore Sport XL"
"JBL Flip 4, Black",Wireless/ portable  Great Sound,5,I have loved this little speaker ever since I bought it.  I am hearing impaired.  This little guy let me hear my you tube music list while in the shower.  My only gripe is the battery started to lose charge with in a month after the warranty expired in 2022.  I will probably buy another one.  I originally had a cheap speaker and only paid like $39.  It died within a few months.  I think JBL could figure out a way for us to replace the battery.  I purchased it 2020.  So I guess 2 years is the life of the battery.  It still sounds awesome.  I just have to plug it in after about an hour time.
"JBL Flip 4, Black",Big sound for a little speaker,5,"Very good sound quality, and good bass for such a small speaker.  Seems durable and well constructed.  Battery life is good, lasts a few hours if used continuously so it's good to plug in if you're using it for long stretches.  Comes with a usb charging cable, so to plug it in you'll need one of those little usb plug cubes.  Overall though very happy with this speaker, good value for the money."
"JBL Flip 4, Black","Versatile, good sound, works very well as a speakerphone for conference calls",5,"Bought this as a speakerphone system for conference calls. Having tried other systems I did not have high hopes, but this system works surprisingly well for conference calls.  I've asked others in the meeting regarding voice quality and have been assured that it is clear aside from a ""change in timbre"" from my headset.The music quality is a bit too boomy for my liking and too tinny if I turn bass boost off, but is good for a small speaker.Voice conferencing quality has the same boominess issue which can cause certain voices to be hard to hear.  In such situations I find that instead of turning bass boost off (which doesn't help much) just facing the speakers downwards helps."
"JBL Flip 4, Black",Concert quality sound,5,"I was introduced to this speaker when my son visited over the Christmas holiday. He propped it up on the window sill in the kitchen and tuned into some Christmas music. It was a nice addition to the overall holiday ambiance. Being a huge NFL fan, I bought this speaker primarily to listen SiriusXM football coverage on channel 88. But if I'm in relaxation mode, reading a book, or working on a project, l will call up some of my favorite music and play it in the background. I still can't believe the sound quality from such a compact speaker. Great range from booming bass to the highest notes of orchestral string instruments."
"JBL Flip 4, Black",Great little Bluetooth speaker,4,"It's remarkable powerful for its size, and the battery lasts for quite a few hours.  I haven't timed it, but I use it every day for a couple of hours and I've only had to charge it about once a week.  My only complaint is that the smartphone app doesn't offer an equalizer function.  It may be available on more expensive models, but this one doesn't have it and it would be useful.  Still, at this price, it's a great product."
"JBL Flip 4, Black",There's a reason it's the baseline,5,"Baseline good speaker.  It's much much better than your phone speakers.  No wonder it was the most sold speaker for many years.  If I purchased again I would like to try the upgrade, but realistically it likely can't get much better for this size of a speaker; anything I might say about it is simply due to the physical limitations due to the size of the speaker (nobody wants to carry around a car speaker for jam sessions... duh)."
"JBL Flip 4, Black","I bought it for the portability, but",5,"Mostly, I wanted something portable to take when camping or going on trips and this seem to have a reasonable price and good reviews so I bought one. The sound is even better than I expected, we are, of course, working with small speakers and limited power so at this size, I think this JBL is about optimal.  Wingstop, I can place it on top of the dash by the windshield and the acoustics are really nice,"
"JBL Flip 4, Black",LOVE IT,5,Absolutely love it. It's like having surround sound!
"JBL Flip 4, Black",Almost perfect speaker that punches above its class (been using it almost daily for over a year now),5,"I've been using it almost daily for 20 minutes to 2 hours for almost 1 1/2 years now.SOUND: It sounds almost as good as a full blown stereo system, if not better depending on the stereo. The only thing that makes an actual stereo a little better is the fact the speakers aren't combined into one unit and the sound comes from multiple directions (but I'm tempted to get a 2nd one to fix that).The sub-woofers on the sides of this pack a significant punch at medium to high volumes, but still improve the sound even at low volumes. The sound is very full and never sounds ""tinny"" or even flat like smaller speakers usually do.It's stereo. I feel like I shouldn't have to mention this, but I do because the newer one isn't...BUILD QUALITY: The build quality is outstanding with almost no wear and tear even after a year of daily use and moving it around semi-frequently. The only real wear is a two or three hairline scratches where I slide it in and out of multiple times a day and honestly the fact it remained that way and isn't all scuffed up like I expected is amazing.The charging port door doesn't seem like it'll wear out anytime soon, nor do the jacks seem worn at all. I swing the thing by its carrying cord all the time and haven't seen any scratching or wear as a result and I have full confidence nothing bad will happen from doing so.BATTERY: The battery life for me was about 2 weeks when I got it and now it's down to 1 to 1/2 weeks, but I think I've been listening at higher volumes more recently and considering how quickly laptop batteries lose their charge, I think it's held up very well.CONS: There are a couple of bad things I've noticed. First of all, the highs are a little too high for my liking and its the kind of thing you really won't notice unless you listen to it all the time, especially at higher volumes. I solved this using the EQ on Spotify. Furthermore, while the bass sounds good by default I know it can do more, so I set the EQ accordingly. The other thing is really quiet songs at higher volumes reveal a really soft background static from the internal amplifier. This flaw is more than likely inherent to non-grounded amplifiers or ones without room for extra circuitry that can minimize it (but it seems pretty minimal already, so don't worry about this). To be honest, I thought the speaker was so perfect I was surprised it had any flaws.PHYSICAL DEVICE: It's waterproof and I've taken it to dusty and dirty places and washed it off just fine. The water can muffle the sound if it gets stuck on the speakers, but I've been able to shake it off half the time.It's pretty small in person, about the size of a 16oz water bottle and fits almost everywhere water bottles do which is very convenient for taking it everywhere. Compared to similar speakers it's smaller and sounds better.BLUETOOTH: It can handles 2 simultaneous phone connections and trade between them seamlessly whenever the other person starts to play something. I've had issues with 3+ people, but they had iPhones and I think that was the problem because I think I've done 3 Androids before without problems (but iPhones still work well up to 2 devices). Furthermore, the auto-connect only works when it's set for both headset and music, but since I don't enable headset I have to manually connect each time (but I think this is just my phone as other peoples usually auto-connect).Overall, I think this speaker is amazing, better than the older and newer ones, and much better than its competitors. I paid about $85 for this and think it was absolutely worth it, but it's cheaper now and I'm happy it's still available since I think it really is the best you can get for this category.(side note: the pictures are from when I got it, but it's looks almost the same but with the 2 or 3 tiny scratches where I slide it every day)"
